eventId,eventTitle,startDate,endDate,city,region,country,sponsors,about,eventFormat,isvirtual,url
71377,"2026 5th International Conference on Electronic Electrical Engineering and Automatic Control (EEEAC)",2026-08-07,2026-08-09,"Lanzhou","","China","IEEE Systems, Man, and Cybernetics Society; Lanzhou University of Arts and Science","Components, Circuits, Devices and Systems; Power, Energy and Industry Applications; Robotics and Control Systems",hybrid,Y,/conf/details?id=71377
70794,"2026 IEEE/CIC International Conference on Communications in China (ICCC Workshops)",2026-08-07,2026-08-09,"Wuhan","","China","China Institute of Communications; IEEE Communications Society","Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Fields, Waves and Electromagnetics; Signal Processing and Analysis",inperson,N,/conf/details?id=70794
70977,"2026 8th International Conference on System Reliability and Safety Engineering (SRSE)",2026-08-07,2026-08-10,"Xi'an","","China","IEEE Reliability Society; Xi'an Jiaotong University","Engineering Profession",hybrid,Y,/conf/details?id=70977
70295,"2026 IEEE/CIC International Conference on Communications in China (ICCC)",2026-08-07,2026-08-09,"Wuhan","","China","China Institute of Communications ; IEEE Communications Society","Aerospace; Communication, Networking and Broadcast Technologies; Fields, Waves and Electromagnetics; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis; Transportation",inperson,N,/conf/details?id=70295
71153,"2026 IEEE 32nd International Conference on Embedded and Real-Time Computing Systems and Applications (RTCSA)",2026-08-11,2026-08-13,"Qingdao","","China","IEEE Computer Society","Computing and Processing",inperson,N,/conf/details?id=71153
71223,"2026 IEEE 15th Non-Volatile Memory Systems and Applications Symposium (NVMSA)",2026-08-11,2026-08-13,"Qingdao","","China","China Computer Federation; IEEE Council on Electronic Design Automation","Components, Circuits, Devices and Systems; Computing and Processing; Engineering Profession; Power, Energy and Industry Applications",inperson,N,/conf/details?id=71223
70196,"2026 International Conference on Automation in Manufacturing, Transportation and Logistics (iCaMaL)",2026-08-12,2026-08-14,"Hangzhou","","China","IEEE Systems, Man, and Cybernetics Society; Zhejiang Gongshang University (ZJSU)","Computing and Processing; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70196
69731,"2026 18th International Conference on Advanced Computational Intelligence (ICACI)",2026-08-13,2026-08-16,"Tianshui","","China","City University of Hong Kong - CityU; IEEE Systems, Man, and Cybernetics Society; Lanzhou University; Lanzhou University of Technology; Tianshui Normal University","Bioengineering; Communication, Networking and Broadcast Technologies; Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=69731
70170,"2026 International Zhejiang Power Electronics Conference (ZPEC)",2026-08-14,2026-08-16,"Hangzhou","","China","China Power Supply Society; IEEE Power Electronics Society; Nanjing Section PEL Zhejiang/Jiangsu/Anhui Chapter; Zhejiang University","Components, Circuits, Devices and Systems; Power, Energy and Industry Applications",inperson,N,/conf/details?id=70170
70335,"2026 IEEE 6th New Energy and Energy Storage System Control Summit Forum (NEESSC)",2026-08-14,2026-08-16,"Hohhot","","China","Beijing Section; Inner Mongolia University of Technology","Components, Circuits, Devices and Systems; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70335
70800,"2026 6th International Conference on Mechanical, Electronics and Electrical and Automation Control (METMS)",2026-08-14,2026-08-16,"Weihai","","China","Harbin Institute of Technology; IEEE Systems, Man, and Cybernetics Society","Components, Circuits, Devices and Systems; Power, Energy and Industry Applications; Robotics and Control Systems",hybrid,Y,/conf/details?id=70800
71000,"2026 IEEE 9th International Conference on Computer and Communication Engineering Technology (CCET)",2026-08-14,2026-08-16,"Taiyuan","","China","China Council; Taiyuan University of Technology","Communication, Networking and Broadcast Technologies; Computing and Processing",hybrid,Y,/conf/details?id=71000
71539,"2026 3rd International Conference on Intelligent Perception and Pattern Recognition (IPPR)",2026-08-14,2026-08-16,"Chongqing","","China","Chongqing University; IEEE Systems, Man, and Cybernetics Society","Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=71539
70722,"2026 3rd International Conference on Intelligent Systems and Robotics (CISR)",2026-08-14,2026-08-16,"Ningbo","","China","Nanjing Section; Ningbo University of Technology","Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis",inperson,N,/conf/details?id=70722
70962,"2026 IEEE 9th International Conference on Pattern Recognition and Artificial Intelligence (PRAI)",2026-08-14,2026-08-16,"Shanghai","","China","China Council; Shanghai Jiao Tong University","Computing and Processing",hybrid,Y,/conf/details?id=70962
71524,"2026 2nd International Conference on Energy Technology and Electrical Engineering (ETEE)",2026-08-14,2026-08-16,"Shenyang","","China","IEEE Power & Energy Society; Shenyang Institute of Engineering","Power, Energy and Industry Applications; Robotics and Control Systems",hybrid,Y,/conf/details?id=71524
71536,"2026 2nd International Conference on Electronic Information, Computer and Aerospace Remote Sensing (EICARS)",2026-08-14,2026-08-16,"Jiangmen","","China","Guangzhou Section; Wuyi University","Aerospace; Communication, Networking and Broadcast Technologies; Computing and Processing; Signal Processing and Analysis",inperson,N,/conf/details?id=71536
71669,"2026 International Conference on Computer Science, Technology and Engineering (ICCSTE)",2026-08-14,2026-08-16,"Wuhan","","China","School of Remote Sensing and Information Engineering, Wuhan University; Wuhan Section","Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=71669
70578,"2026 22nd IEEE International Conference on Mechatronic and Embedded Systems and Applications (MESA)",2026-08-16,2026-08-19,"Beijing","","China","IEEE Intelligent Transportation Systems Society","General Topics for Engineers; Photonics and Electrooptics; Robotics and Control Systems; Signal Processing and Analysis; Transportation",inperson,N,/conf/details?id=70578
69030,"2026 IEEE 22nd International Conference on Automation Science and Engineering (CASE)",2026-08-17,2026-08-21,"Shenyang","","China","IEEE Robotics and Automation Society","Robotics and Control Systems",hybrid,Y,/conf/details?id=69030
68533,"2026 IEEE Workshop on Power Electronics for Aerospace Applications in Asia (PEASA-Asia)",2026-08-19,2026-08-21,"Xi'an","","China","IEEE Power Electronics Society","Aerospace; Components, Circuits, Devices and Systems; Power, Energy and Industry Applications; Transportation",inperson,N,/conf/details?id=68533
71391,"2026 World Robot Conference (WRC)",2026-08-19,2026-08-23,"Beijing","","China","Chinese Institute of Electronics - CIE; IEEE Robotics and Automation Society","Bioengineering; Robotics and Control Systems",inperson,N,/conf/details?id=71391
73023,"2026 8th International Conference on Industrial Artificial Intelligence (IAI)",2026-08-19,2026-08-22,"Shenyang","","China","IEEE Industrial Electronics Society; State Key Laboratory of Synthetical Automation for Process Industries, Northeastern University, China","Power, Energy and Industry Applications; Robotics and Control Systems",hybrid,Y,/conf/details?id=73023
70365,"2026 20th International Conference on Complex Medical Engineering (CME)",2026-08-21,2026-08-23,"Changchun","","China","IEEE Systems, Man, and Cybernetics Society; Northeast Normal University","Bioengineering; Communication, Networking and Broadcast Technologies; Computing and Processing; Photonics and Electrooptics; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70365
70863,"2026 7th International Conference on Internet of Things, Artificial Intelligence and Electronical Energy (IoTAIEE)",2026-08-21,2026-08-23,"Lanzhou","","China","IEEE Systems, Man, and Cybernetics Society; Lanzhou Jiaotong University","Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70863
71096,"2026 4th Asian Aerospace and Astronautics Conference (AAAC)",2026-08-21,2026-08-23,"Hong Kong","","China","City University of Hong Kong - CityU; IEEE Aerospace and Electronic Systems Society","Aerospace",hybrid,Y,/conf/details?id=71096
71139,"2026 14th International Conference on Traffic and Logistics Engineering (ICTLE)",2026-08-21,2026-08-23,"Macau","","China","Macau Section; Macau University of Science and Technology; Southwest Jiaotong University; University of Macau","Robotics and Control Systems; Transportation",inperson,N,/conf/details?id=71139
71140,"2026 IEEE 5th International Conference on Computing, Communication, Perception and Quantum Technology (CCPQT)",2026-08-21,2026-08-23,"Huludao","","China","China Council; Liaoning Technical University","Communication, Networking and Broadcast Technologies; Computing and Processing; Signal Processing and Analysis",inperson,N,/conf/details?id=71140
71176,"2026 6th International Conference on Computer Science and Blockchain (CCSB)",2026-08-21,2026-08-23,"Zhuhai","","China","Guangzhou Section; Sun Yat-sen University","Communication, Networking and Broadcast Technologies; Computing and Processing; Signal Processing and Analysis",inperson,N,/conf/details?id=71176
